stock_id,stock_name,industry_category,actual_months,WMAPE_numeric_valid,SMAPE_numeric_valid,MedianAPE_numeric_valid,MAPE_numeric_valid,WMAPE,SMAPE,MedianAPE,MAPE,RMSE,MAE,Bias,UnderestimateRate,DirectionAccuracy,sarima_months,fallback_months,selected_order,selected_seasonal_order,best_aic,runtime_seconds
2031,新光鋼,鋼鐵工業,12,16.611323285886165,15.905511637980252,12.831969801106267,16.503594290952154,16.611,15.906,12.832,16.504,313312.189,232532.142,65149.557,33.333,58.333,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-10.071232878764224,0.6623114000540227
4568,科際精密,電機機械,12,16.70556285092679,17.027944533974203,14.561850809127252,16.345310615017645,16.706,17.028,14.562,16.345,21339.208,16919.394,762.814,25.0,41.667,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-32.22732621161841,0.6227705001365393
2014,中鴻,鋼鐵工業,12,16.710886409596988,16.251943835334583,14.681401629942087,17.024963280350384,16.711,16.252,14.681,17.025,336408.377,264889.19,72854.987,41.667,50.0,12,0,"(1, 1, 1)","(0, 1, 1, 12)",-50.21358277319104,1.2759348000399768
7744,崴寶,電子零組件業,4,16.729398185177168,17.14465087066425,15.033377186571165,16.23237704454435,16.729,17.145,15.033,16.232,37725.887,35557.667,-20211.667,66.667,0.0,0,12,,,,0.0194037000183016
1707,葡萄王,化學生技醫療,12,16.74874742706825,15.163471614999036,12.17089361084011,17.13774224397308,16.749,15.163,12.171,17.138,201716.631,143084.647,92513.023,33.333,66.667,12,0,"(0, 1, 1)","(0, 1, 0, 12)",-84.4123135472938,0.4648957999888807
6139,亞翔,電子工業,12,16.752183572565787,18.818592352127418,12.215730766569196,17.20880243253292,16.752,18.819,12.216,17.209,1344380.004,1071285.932,-421208.812,58.333,83.333,12,0,"(1, 1, 0)","(1, 1, 0, 12)",-3.343750875948244,0.7142419998999685
1713,國化,化學生技醫療,12,16.779085807285895,16.702583240542644,18.381806865873546,17.271396132665114,16.779,16.703,18.382,17.271,7285.949,6432.556,391.672,58.333,91.667,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-0.2429530662425305,0.6348826000466943
2451,創見,電子工業,12,16.788805275900664,14.884896821742197,13.525466855488567,13.361107514783532,16.789,14.885,13.525,13.361,381171.939,239596.58,-234056.137,83.333,41.667,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-58.97646796662001,0.8752745999954641
7703,銳澤,其他電子類,12,16.801083130753256,16.726329815254683,12.267578252311496,16.58153473495018,16.801,16.726,12.268,16.582,45714.707,35904.167,-11714.5,58.333,8.333,0,12,,,,0.0213468000292778
3036,文曄,電子通路業,12,16.811382626682878,17.771685079332418,15.929147188294207,18.141562920487537,16.811,17.772,15.929,18.142,18783644.898,16502458.159,-238122.345,50.0,58.333,12,0,"(0, 1, 1)","(1, 1, 0, 12)",-43.284351084814254,0.6731493999250233
8466,美吉吉-KY,其他,12,16.825626339630237,15.927373577375764,16.123103257220787,16.279206209562965,16.826,15.927,16.123,16.279,55156.791,44351.818,14270.808,33.333,75.0,12,0,"(1, 1, 1)","(0, 1, 1, 12)",-18.87384243249933,3.2729291000869125
8941,關中,居家生活類,12,16.833502859420012,16.65332296307703,13.100340791054489,17.88735147851016,16.834,16.653,13.1,17.887,54213.297,41843.922,5648.078,41.667,66.667,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-29.215176863854246,0.7210514000616968
6720,久昌,半導體業,12,16.839393098131712,16.66346723823815,15.994952442703026,18.928614684465163,16.839,16.663,15.995,18.929,7315.436,6116.25,4975.583,25.0,25.0,0,12,,,,0.0192090000491589
2367,燿華,電子零組件業,12,16.847083727081156,16.96216342118625,17.59764319352439,17.252375102080368,16.847,16.962,17.598,17.252,256187.159,228085.521,32963.062,50.0,33.333,12,0,"(1, 1, 0)","(0, 1, 1, 12)",-48.08437574869866,0.6696444000117481
1789,神隆,生技醫療業,12,16.888475831191858,18.10321622167664,14.650964051434146,19.76886289557183,16.888,18.103,14.651,19.769,57765.04,44521.147,17698.084,33.333,75.0,12,0,"(1, 1, 1)","(0, 1, 1, 12)",13.968426676377993,1.064345199847594
6870,騰雲,數位雲端類,12,16.894243141935362,18.485163070668563,16.735327778694057,16.52216242015852,16.894,18.485,16.735,16.522,13513.196,11324.0,-11324.0,100.0,75.0,0,12,,,,0.0210928001906722
3297,杭特,光電業,12,16.942560272174337,17.5274163867078,16.390247704692676,18.41459484447788,16.943,17.527,16.39,18.415,3627.108,2845.235,-1011.13,83.333,58.333,12,0,"(0, 1, 1)","(0, 1, 1, 12)",6.588675539427415,0.7065626000985503
1473,台南,紡織纖維,12,16.95876027221563,16.705396090371302,15.117147876934588,17.579009570979498,16.959,16.705,15.117,17.579,120337.066,94361.044,26538.405,25.0,41.667,12,0,"(0, 1, 1)","(0, 1, 1, 12)",11.056785969754406,0.5740827000699937
