stock_id,stock_name,industry_category,actual_months,WMAPE,SMAPE,MedianAPE,MAPE,RMSE,MAE,Bias,UnderestimateRate,DirectionAccuracy,WMAPE_numeric_valid,SMAPE_numeric_valid,MedianAPE_numeric_valid,MAPE_numeric_valid,RMSE_numeric_valid,MAE_numeric_valid,Bias_numeric_valid,UnderestimateRate_numeric_valid,DirectionAccuracy_numeric_valid,sarima_months,fallback_months,selected_order,selected_seasonal_order,best_aic,runtime_seconds
3617,碩天,電子工業,12,11.329,10.989,7.23,11.605,146377.11,112119.551,26169.809,50.0,58.333,11.328566630985758,10.988701338743816,7.229819737604705,11.605153125195729,146377.11019679438,112119.55086322488,26169.8094773362,50.0,58.333333333333336,12,0,"(1, 1, 0)","(0, 1, 1, 12)",-45.0571324881056,0.8664192000869662
8404,百和興業-KY,其他,12,11.333,10.959,8.386,10.664,91362.565,71556.47,-20908.617,66.667,83.333,11.333084170145243,10.958822279091347,8.385780701857728,10.664215499734244,91362.56547057642,71556.47013066772,-20908.616939407093,66.66666666666666,83.33333333333334,12,0,"(1, 1, 1)","(0, 1, 1, 12)",33.76246699533711,0.9337997999973596
6811,宏碁資訊,數位雲端類,12,11.34,13.161,10.484,11.868,114822.229,91285.25,-80519.583,83.333,100.0,11.34031675405001,13.161108673986973,10.483884217149834,11.86839416202533,114822.22913305304,91285.25,-80519.58333333333,83.33333333333334,100.0,0,12,,,,0.0196949001401662
8215,明基材,電子工業,12,11.344,10.69,7.268,11.788,244003.332,168698.601,110345.452,33.333,58.333,11.343634550984143,10.690301507568579,7.267626634068999,11.788461736847598,244003.33185473102,168698.6005822585,110345.45211218973,33.33333333333333,58.333333333333336,12,0,"(0, 1, 1)","(0, 1, 0, 12)",-85.93658096758877,0.6715726000256836
3296,勝德,電子零組件業,12,11.36,10.741,6.787,11.478,22268.733,15119.926,-118.422,66.667,66.667,11.35973847435805,10.741066476871227,6.787019418110509,11.47776777279508,22268.733197913956,15119.925506755308,-118.42190739587507,66.66666666666666,66.66666666666666,12,0,"(1, 1, 0)","(1, 1, 0, 12)",-11.05742265964837,0.455795100191608
1305,華夏,塑膠工業,12,11.379,11.255,9.561,11.957,111032.06,87433.812,23433.614,41.667,66.667,11.378719080369498,11.25534511624172,9.560890672741554,11.95722315362399,111032.05954732621,87433.81191011402,23433.614088492137,41.66666666666667,66.66666666666666,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-20.277581205981235,1.5063040999229995
8040,九暘,半導體業,12,11.395,11.305,9.757,11.291,7942.879,6277.96,309.824,50.0,50.0,11.395238956842094,11.304797039068937,9.757136998858355,11.290739562416396,7942.878888888312,6277.960006428087,309.8240081164943,50.0,50.0,12,0,"(0, 1, 1)","(0, 1, 1, 12)",-35.04619753048402,1.108161099953577
1796,金穎生技,食品工業,12,11.396,11.492,9.695,11.29,8064.059,6429.934,-726.629,33.333,66.667,11.395574304526077,11.492304909101799,9.695295181058933,11.290421979818088,8064.058937219597,6429.933808704998,-726.6289876144625,33.33333333333333,66.66666666666666,12,0,"(1, 1, 0)","(0, 1, 1, 12)",-28.949215608211667,0.7872787998057902
3673,TPK-KY,電子工業,12,11.397,10.627,8.494,10.56,816105.935,596780.281,-41178.622,58.333,66.667,11.396964927828773,10.627217988640352,8.494429928515679,10.560081908242545,816105.9353459481,596780.2812477999,-41178.62167820893,58.333333333333336,66.66666666666666,12,0,"(1, 1, 0)","(0, 1, 1, 12)",-40.38986401310456,0.8425996999721974
5475,德宏,電子零組件業,12,11.407,12.155,10.401,11.324,10803.214,8309.57,-5159.18,66.667,83.333,11.406853923712617,12.15465033680399,10.401246957777289,11.323674250693593,10803.214038664173,8309.569889230137,-5159.179780359805,66.66666666666666,83.33333333333334,12,0,"(0, 1, 1)","(0, 1, 1, 12)",33.56641181861912,0.6054232998285443
2464,盟立,電子工業,12,11.416,11.38,9.949,11.384,73412.756,63560.067,14764.235,33.333,75.0,11.416330321668845,11.38030290954272,9.948901736889505,11.38428375172998,73412.75552280432,63560.06706237304,14764.235452597679,33.33333333333333,75.0,12,0,"(1, 1, 0)","(0, 1, 0, 12)",-86.08249466685774,0.372337699867785
