date,stock_id,country,revenue,revenue_month,revenue_year,revenue_available_date
2025-11-01,1219,Taiwan,1202794000,11,2025,2025-12-10
2025-12-01,1219,Taiwan,1332578000,12,2025,2026-01-10
2025-01-01,1220,Taiwan,218906000,1,2025,2025-02-10
2025-02-01,1220,Taiwan,270707000,2,2025,2025-03-10
2025-03-01,1220,Taiwan,269636000,3,2025,2025-04-10
2025-04-01,1220,Taiwan,266521000,4,2025,2025-05-10
2025-05-01,1220,Taiwan,274366000,5,2025,2025-06-10
2025-06-01,1220,Taiwan,255918000,6,2025,2025-07-10
2025-07-01,1220,Taiwan,275553000,7,2025,2025-08-10
2025-08-01,1220,Taiwan,280352000,8,2025,2025-09-10
2025-09-01,1220,Taiwan,290497000,9,2025,2025-10-10
2025-10-01,1220,Taiwan,345775000,10,2025,2025-11-10
2025-11-01,1220,Taiwan,360840000,11,2025,2025-12-10
2025-12-01,1220,Taiwan,308992000,12,2025,2026-01-10
2025-01-01,1225,Taiwan,1090255000,1,2025,2025-02-10
2025-02-01,1225,Taiwan,1068503000,2,2025,2025-03-10
2025-03-01,1225,Taiwan,1061994000,3,2025,2025-04-10
2025-04-01,1225,Taiwan,1018583000,4,2025,2025-05-10
2025-05-01,1225,Taiwan,1008123000,5,2025,2025-06-10
2025-06-01,1225,Taiwan,984253000,6,2025,2025-07-10
2025-07-01,1225,Taiwan,1006566000,7,2025,2025-08-10
2025-08-01,1225,Taiwan,939446000,8,2025,2025-09-10
2025-09-01,1225,Taiwan,925938000,9,2025,2025-10-10
2025-10-01,1225,Taiwan,967903000,10,2025,2025-11-10
2025-11-01,1225,Taiwan,992489000,11,2025,2025-12-10
2025-12-01,1225,Taiwan,1130151000,12,2025,2026-01-10
2025-01-01,1227,Taiwan,3268631000,1,2025,2025-02-10
2025-02-01,1227,Taiwan,1605125000,2,2025,2025-03-10
2025-03-01,1227,Taiwan,2006555000,3,2025,2025-04-10
2025-04-01,1227,Taiwan,2029826000,4,2025,2025-05-10
2025-05-01,1227,Taiwan,2164443000,5,2025,2025-06-10
2025-06-01,1227,Taiwan,1980512000,6,2025,2025-07-10
2025-07-01,1227,Taiwan,1928591000,7,2025,2025-08-10
2025-08-01,1227,Taiwan,2370684000,8,2025,2025-09-10
2025-09-01,1227,Taiwan,2981999000,9,2025,2025-10-10
2025-10-01,1227,Taiwan,2154553000,10,2025,2025-11-10
2025-11-01,1227,Taiwan,2611225000,11,2025,2025-12-10
2025-12-01,1227,Taiwan,2774103000,12,2025,2026-01-10
2025-01-01,1229,Taiwan,864201000,1,2025,2025-02-10
2025-02-01,1229,Taiwan,789043000,2,2025,2025-03-10
2025-03-01,1229,Taiwan,768711000,3,2025,2025-04-10
2025-04-01,1229,Taiwan,1106918000,4,2025,2025-05-10
2025-05-01,1229,Taiwan,862668000,5,2025,2025-06-10
2025-06-01,1229,Taiwan,2140098000,6,2025,2025-07-10
2025-07-01,1229,Taiwan,978972000,7,2025,2025-08-10
2025-08-01,1229,Taiwan,1017481000,8,2025,2025-09-10
2025-09-01,1229,Taiwan,1235489000,9,2025,2025-10-10
2025-10-01,1229,Taiwan,1015427000,10,2025,2025-11-10
2025-11-01,1229,Taiwan,1273348000,11,2025,2025-12-10
2025-12-01,1229,Taiwan,1367820000,12,2025,2026-01-10
2025-01-01,1231,Taiwan,1289469000,1,2025,2025-02-10
2025-02-01,1231,Taiwan,834848000,2,2025,2025-03-10
2025-03-01,1231,Taiwan,1001578000,3,2025,2025-04-10
2025-04-01,1231,Taiwan,998002000,4,2025,2025-05-10
2025-05-01,1231,Taiwan,1018378000,5,2025,2025-06-10
2025-06-01,1231,Taiwan,963173000,6,2025,2025-07-10
2025-07-01,1231,Taiwan,1144425000,7,2025,2025-08-10
2025-08-01,1231,Taiwan,1168240000,8,2025,2025-09-10
2025-09-01,1231,Taiwan,1068355000,9,2025,2025-10-10
2025-10-01,1231,Taiwan,1058351000,10,2025,2025-11-10
2025-11-01,1231,Taiwan,1019108000,11,2025,2025-12-10
2025-12-01,1231,Taiwan,1303204000,12,2025,2026-01-10
2025-01-01,1232,Taiwan,1828340000,1,2025,2025-02-10
2025-02-01,1232,Taiwan,1633429000,2,2025,2025-03-10
2025-03-01,1232,Taiwan,1935400000,3,2025,2025-04-10
2025-04-01,1232,Taiwan,1833047000,4,2025,2025-05-10
2025-05-01,1232,Taiwan,1666647000,5,2025,2025-06-10
2025-06-01,1232,Taiwan,1604514000,6,2025,2025-07-10
2025-07-01,1232,Taiwan,1758494000,7,2025,2025-08-10
2025-08-01,1232,Taiwan,1780197000,8,2025,2025-09-10
2025-09-01,1232,Taiwan,1796364000,9,2025,2025-10-10
2025-10-01,1232,Taiwan,1860932000,10,2025,2025-11-10
2025-11-01,1232,Taiwan,1822177000,11,2025,2025-12-10
2025-12-01,1232,Taiwan,1993530000,12,2025,2026-01-10
2025-01-01,1233,Taiwan,220238000,1,2025,2025-02-10
2025-02-01,1233,Taiwan,161766000,2,2025,2025-03-10
2025-03-01,1233,Taiwan,169134000,3,2025,2025-04-10
2025-04-01,1233,Taiwan,168871000,4,2025,2025-05-10
2025-05-01,1233,Taiwan,196357000,5,2025,2025-06-10
2025-06-01,1233,Taiwan,163079000,6,2025,2025-07-10
2025-07-01,1233,Taiwan,160451000,7,2025,2025-08-10
2025-08-01,1233,Taiwan,178499000,8,2025,2025-09-10
2025-09-01,1233,Taiwan,187040000,9,2025,2025-10-10
2025-10-01,1233,Taiwan,181007000,10,2025,2025-11-10
2025-11-01,1233,Taiwan,176031000,11,2025,2025-12-10
2025-12-01,1233,Taiwan,202853000,12,2025,2026-01-10
2025-01-01,1234,Taiwan,842531000,1,2025,2025-02-10
2025-02-01,1234,Taiwan,777480000,2,2025,2025-03-10
2025-03-01,1234,Taiwan,609760000,3,2025,2025-04-10
2025-04-01,1234,Taiwan,799538000,4,2025,2025-05-10
2025-05-01,1234,Taiwan,898472000,5,2025,2025-06-10
2025-06-01,1234,Taiwan,768937000,6,2025,2025-07-10
2025-07-01,1234,Taiwan,846219000,7,2025,2025-08-10
2025-08-01,1234,Taiwan,887896000,8,2025,2025-09-10
2025-09-01,1234,Taiwan,877543000,9,2025,2025-10-10
2025-10-01,1234,Taiwan,877976000,10,2025,2025-11-10
2025-11-01,1234,Taiwan,684260000,11,2025,2025-12-10
2025-12-01,1234,Taiwan,640539000,12,2025,2026-01-10
2025-01-01,1235,Taiwan,8607000,1,2025,2025-02-10
2025-02-01,1235,Taiwan,1746000,2,2025,2025-03-10
2025-03-01,1235,Taiwan,18067000,3,2025,2025-04-10
2025-04-01,1235,Taiwan,14427000,4,2025,2025-05-10
2025-05-01,1235,Taiwan,12837000,5,2025,2025-06-10
2025-06-01,1235,Taiwan,12486000,6,2025,2025-07-10
2025-07-01,1235,Taiwan,12929000,7,2025,2025-08-10
2025-08-01,1235,Taiwan,18931000,8,2025,2025-09-10
2025-09-01,1235,Taiwan,19629000,9,2025,2025-10-10
2025-10-01,1235,Taiwan,20135000,10,2025,2025-11-10
2025-11-01,1235,Taiwan,24760000,11,2025,2025-12-10
