date,stock_id,EPS,statement_available_date
2023-03-31,1210,0.9,2023-05-15
2023-06-30,1210,1.27,2023-08-14
2023-09-30,1210,1.51,2023-11-14
2023-12-31,1210,1.13,2024-03-31
2024-03-31,1210,1.0,2024-05-15
2024-06-30,1210,0.94,2024-08-14
2024-09-30,1210,1.0,2024-11-14
2024-12-31,1210,1.27,2025-03-31
2025-03-31,1210,1.05,2025-05-15
2025-06-30,1210,0.68,2025-08-14
2025-09-30,1210,0.93,2025-11-14
2025-12-31,1210,1.66,2026-03-31
2026-03-31,1210,0.94,2026-05-15
2026-06-30,1210,0.53,2026-08-14
2019-03-31,1213,-0.16,2019-05-15
2019-06-30,1213,-0.24,2019-08-14
2019-09-30,1213,-0.22,2019-11-14
2019-12-31,1213,-0.13,2020-03-31
2020-03-31,1213,-0.22,2020-05-15
2020-06-30,1213,0.16,2020-08-14
2020-09-30,1213,-0.11,2020-11-14
2020-12-31,1213,-0.3,2021-03-31
2021-03-31,1213,-0.24,2021-05-15
2021-06-30,1213,-0.41,2021-08-14
2021-09-30,1213,-0.71,2021-11-14
2021-12-31,1213,-0.3,2022-03-31
2022-03-31,1213,-0.47,2022-05-15
2022-06-30,1213,-0.31,2022-08-14
2022-09-30,1213,-0.3,2022-11-14
2022-12-31,1213,-0.26,2023-03-31
2023-03-31,1213,-0.34,2023-05-15
2023-06-30,1213,-0.72,2023-08-14
2023-09-30,1213,-0.66,2023-11-14
2023-12-31,1213,-0.74,2024-03-31
2024-03-31,1213,-0.43,2024-05-15
2024-06-30,1213,0.0,2024-08-14
2024-09-30,1213,-0.32,2024-11-14
2024-12-31,1213,9.46,2025-03-31
2025-03-31,1213,-0.23,2025-05-15
2025-06-30,1213,-0.23,2025-08-14
2025-09-30,1213,-0.2,2025-11-14
2025-12-31,1213,-0.2,2026-03-31
2026-03-31,1213,-0.37,2026-05-15
2026-06-30,1213,-0.18,2026-08-14
2019-03-31,1215,0.9,2019-05-15
2019-06-30,1215,1.46,2019-08-14
2019-09-30,1215,1.15,2019-11-14
2019-12-31,1215,1.95,2020-03-31
2020-03-31,1215,0.87,2020-05-15
2020-06-30,1215,1.74,2020-08-14
2020-09-30,1215,2.02,2020-11-14
